category,document_count,token_count,tokens_after_stopword_removal,unique_tokens,unique_stemmed,unique_lemmatized,avg_tokens_per_doc
alt.atheism,799,154776,78324,12351,8650,11110,193.71214017521902
comp.graphics,973,185480,113485,15360,12195,14251,190.62692702980473
comp.os.ms-windows.misc,985,122321,75440,22579,20336,21812,124.18375634517767
comp.sys.ibm.pc.hardware,982,120206,68198,10853,8737,10150,122.40936863543789
comp.sys.mac.hardware,963,105775,58896,9879,7591,9087,109.83904465212876
comp.windows.x,988,205574,126469,17990,15059,17027,208.07085020242914
misc.forsale,975,100593,70511,12862,10771,11937,103.1723076923077
rec.autos,990,109958,59201,11188,8380,10128,111.06868686868687
rec.motorcycles,996,97684,52511,11100,8408,10126,98.07630522088354
rec.sport.baseball,994,122367,71323,11188,8787,10370,123.1056338028169
rec.sport.hockey,999,179534,122639,15758,13008,14812,179.7137137137137
sci.crypt,991,218411,121963,16606,12251,15194,220.39455095862766
sci.electronics,984,115046,64185,11820,8910,10741,116.91666666666667
sci.med,990,194864,111525,18573,13871,16905,196.83232323232323
sci.space,987,184356,109667,18215,13685,16520,186.7841945288754
soc.religion.christian,997,274955,135442,17228,12005,15608,275.7823470411234
talk.politics.guns,910,170086,91556,14696,10604,13302,186.90769230769232
talk.politics.mideast,940,329068,176321,19860,14336,17994,350.07234042553193
talk.politics.misc,775,215260,111336,14749,10257,13194,277.7548387096774
talk.religion.misc,628,137835,69660,12374,8821,11135,219.4824840764331
