sentence_id,original_length,token_count,tokens_after_stopword_removal,unique_tokens,unique_stemmed,unique_lemmatized
0,87,15,11,11,11,11
1,70,11,8,8,8,8
2,158,23,17,17,17,17
3,192,34,21,21,21,21
4,181,27,17,17,17,17
5,155,23,17,17,16,16
6,193,32,20,19,19,19
7,55,9,5,5,5,5
8,99,15,8,8,8,8
9,45,8,2,2,2,2
10,124,20,10,10,9,10
11,132,21,12,12,12,12
12,142,22,14,13,13,13
13,183,31,17,17,16,16
14,95,16,10,10,10,10
15,112,19,12,12,12,12
16,116,15,11,11,11,11
17,133,20,13,13,13,13
18,121,18,12,12,12,12
19,204,32,20,19,19,19
20,122,19,10,10,10,10
21,251,38,21,20,20,20
22,300,48,23,23,23,23
23,106,17,10,10,10,10
24,103,16,10,10,10,10
25,81,12,7,7,7,7
26,107,20,10,10,10,10
27,77,12,6,6,6,6
28,186,32,21,20,20,20
29,128,20,14,14,14,14
30,190,25,15,15,15,15
31,72,13,7,7,7,7
32,43,9,4,4,4,4
33,135,19,14,14,14,14
34,187,33,21,21,20,20
35,98,15,9,9,8,8
36,136,22,14,14,13,13
37,161,23,16,14,14,14
38,117,17,12,11,11,11
39,201,33,18,18,18,18
40,180,27,18,17,17,17
41,108,18,11,11,11,11
42,86,13,10,10,10,10
43,99,17,11,10,10,10
44,148,19,14,14,14,14
45,58,10,7,7,7,7
46,151,23,14,13,13,13
47,128,17,11,11,11,11
48,83,14,8,8,8,8
49,129,22,14,11,11,11
50,138,21,14,14,14,14
51,86,13,9,9,9,9
52,61,11,9,8,8,8
53,143,22,16,16,16,16
54,115,17,11,11,11,11
55,157,23,16,16,16,16
56,110,14,9,9,9,9
57,94,11,10,9,9,9
58,71,12,7,7,7,7
59,125,19,13,12,12,12
60,122,20,12,12,12,12
61,107,15,10,9,9,9
62,97,15,9,9,9,9
63,132,25,13,13,13,13
64,84,17,9,9,9,9
65,147,25,19,19,19,19
66,100,16,10,10,10,10
67,112,16,13,12,12,12
68,72,13,6,6,6,6
69,168,29,17,17,17,17
70,15,3,1,1,1,1
71,117,17,10,10,10,10
72,94,17,10,10,10,10
73,175,35,16,16,16,16
74,169,29,19,18,18,18
75,162,24,16,16,16,16
76,32,4,3,3,3,3
77,160,25,15,15,15,15
78,89,14,9,8,8,8
79,99,17,9,9,9,9
80,155,24,15,15,15,15
81,91,14,9,9,9,9
82,112,20,10,10,10,10
83,99,17,8,8,8,8
84,59,11,5,5,5,5
85,217,34,22,21,21,21
86,106,18,11,11,11,11
87,113,20,10,10,10,10
88,84,14,6,6,6,6
89,171,23,17,17,17,17
90,194,29,20,19,19,19
91,168,27,18,16,15,16
92,147,22,15,15,15,15
93,113,19,12,11,11,11
94,105,18,12,12,12,12
95,125,20,12,12,12,12
96,43,7,4,4,4,4
97,164,26,18,17,16,17
98,150,26,16,15,15,15
99,280,41,29,27,27,27
100,106,16,14,13,13,13
101,58,9,6,6,6,6
102,263,42,29,22,20,21
103,49,10,7,7,7,7
104,134,18,12,12,10,11
105,173,29,16,14,14,14
106,225,42,26,24,24,24
107,130,22,11,11,11,11
108,164,25,15,15,15,15
109,78,11,9,9,9,9
110,136,19,12,12,11,11
111,110,19,11,11,11,11
112,69,11,6,6,6,6
113,205,37,21,20,20,20
114,268,40,26,26,25,26
115,241,39,27,23,23,23
116,95,15,9,7,7,7
117,106,15,11,11,11,11
118,297,49,32,31,30,31
119,149,25,14,13,13,13
120,37,7,4,4,4,4
121,79,12,11,10,10,10
122,147,26,13,13,13,13
123,30,3,2,2,2,2
124,124,23,10,10,10,10
125,190,29,20,20,20,20
126,222,32,24,23,23,23
127,50,8,4,4,4,4
128,163,25,15,15,15,15
129,205,38,20,20,20,20
130,117,19,15,14,14,14
131,254,38,29,29,29,29
132,161,22,17,17,17,17
133,175,28,18,18,18,18
134,186,32,18,18,18,18
135,245,39,26,24,24,24
136,158,28,17,17,16,17
137,103,16,11,11,11,11
138,132,19,13,11,11,11
139,121,22,13,12,12,12
140,97,17,11,11,11,11
141,89,13,9,9,9,9
142,184,27,18,18,18,18
143,115,16,13,13,13,13
144,78,13,10,10,10,10
145,149,24,16,16,16,16
146,119,20,12,12,11,11
147,142,19,13,12,12,12
148,130,22,12,12,12,12
149,169,26,14,13,13,13
150,96,15,9,9,9,9
151,69,13,9,9,9,9
152,183,24,16,16,16,16
153,162,28,21,21,21,21
154,93,15,10,10,10,10
155,72,14,8,8,8,8
156,112,18,12,12,12,12
157,185,31,20,19,19,19
158,91,14,9,9,9,9
159,69,11,8,8,8,8
160,70,10,7,7,7,7
161,72,13,9,9,9,9
162,181,27,16,16,16,16
163,136,22,16,14,14,14
164,170,27,18,18,18,18
165,88,13,9,9,9,9
166,204,31,18,17,17,17
167,115,21,11,11,11,11
168,272,44,26,25,25,25
169,206,35,20,20,19,19
170,123,21,10,10,10,10
171,198,31,17,17,17,17
172,123,20,12,12,12,12
173,111,20,8,8,8,8
174,78,14,7,7,7,7
175,132,18,15,15,15,15
176,56,8,5,5,5,5
177,157,27,18,17,17,17
178,171,28,18,17,16,17
179,125,21,12,11,11,11
180,55,9,5,5,5,5
181,64,12,4,4,4,4
182,134,22,15,15,15,15
183,163,25,14,14,14,14
184,107,16,10,10,10,10
185,241,39,20,19,19,19
186,141,22,16,14,14,14
187,180,27,18,17,16,17
188,195,33,20,16,15,15
189,42,9,4,4,4,4
190,71,12,5,5,5,5
191,46,8,5,5,5,5
192,80,13,9,9,9,9
193,188,30,16,14,14,14
194,77,11,9,9,9,9
195,193,33,19,18,18,18
196,99,17,9,9,9,9
197,182,29,17,16,16,16
198,102,17,11,10,10,10
199,46,8,4,4,4,4
200,316,42,34,29,29,29
201,29,5,3,3,3,3
202,109,20,13,13,13,13
203,125,19,16,16,16,16
204,85,13,8,8,8,8
205,83,11,8,8,8,8
206,74,12,8,8,8,8
207,71,12,7,7,7,7
208,85,15,10,10,10,10
209,52,8,5,5,5,5
210,81,12,10,10,10,10
211,34,5,3,3,3,3
212,249,37,23,22,22,22
213,216,31,22,22,22,22
214,205,30,20,19,19,19
215,146,24,15,15,15,15
216,242,33,19,19,19,19
217,281,37,22,21,21,21
218,186,27,20,20,20,20
219,97,13,9,9,9,9
220,228,32,20,20,20,20
221,130,20,14,14,14,14
222,195,33,20,19,19,19
223,64,10,6,6,6,6
224,76,12,6,6,6,6
225,237,36,20,20,20,20
226,300,42,27,27,27,27
227,70,13,7,6,6,6
228,137,27,14,14,14,14
229,137,20,13,13,13,13
230,169,24,16,15,15,15
231,114,20,13,13,13,13
232,148,25,16,16,16,16
233,130,21,13,13,13,13
234,163,28,13,13,13,13
235,82,15,10,10,10,10
236,150,23,14,14,14,14
237,82,12,10,10,10,10
238,98,16,10,10,10,10
239,204,34,22,22,22,22
240,74,14,6,6,6,6
241,159,25,16,16,16,16
242,83,13,8,8,7,8
243,72,13,9,9,9,9
244,48,8,4,4,4,4
245,111,18,11,11,11,11
246,161,30,15,14,14,14
247,54,9,5,5,5,5
248,120,19,11,11,11,11
249,64,10,6,6,6,6
250,171,29,17,17,17,17
251,115,19,12,11,11,11
252,41,6,4,4,4,4
253,194,31,21,20,20,20
254,114,18,13,13,13,13
255,152,23,16,16,16,16
256,127,22,14,14,14,14
257,68,9,8,8,8,8
258,139,18,15,14,14,14
259,102,14,9,9,9,9
260,108,19,11,11,11,11
261,158,24,15,14,14,14
262,250,44,24,21,20,20
263,121,21,15,15,15,15
264,56,8,7,7,7,7
265,80,13,7,7,7,7
266,46,8,5,5,5,5
267,59,10,8,8,8,8
268,133,22,15,12,12,12
269,157,27,18,17,17,17
270,176,30,19,19,19,19
271,214,33,20,20,20,20
272,55,11,5,5,5,5
273,224,34,21,20,20,20
274,157,26,15,15,15,15
275,65,8,6,6,6,6
276,121,17,13,13,13,13
277,256,42,24,24,23,23
278,199,28,18,16,16,16
279,115,18,11,11,11,11
280,264,44,26,24,23,23
281,205,28,20,20,20,20
282,169,26,16,16,16,16
283,82,10,9,9,9,9
284,127,21,13,13,13,13
285,117,19,12,12,12,12
286,177,30,20,20,20,20
287,98,16,12,12,12,12
288,167,24,17,17,17,17
289,91,15,10,10,10,10
290,58,9,5,5,5,5
291,132,18,13,13,13,13
292,60,10,6,6,6,6
293,99,17,11,10,10,10
294,133,19,14,14,14,14
295,177,22,20,19,19,19
296,169,25,17,17,17,17
297,87,14,7,7,7,7
298,54,10,6,6,6,6
299,116,15,12,12,12,12
300,77,13,9,9,9,9
301,115,20,13,12,12,12
302,200,30,20,19,17,19
303,218,32,19,17,17,17
304,124,15,11,10,10,10
305,153,22,14,14,14,14
306,197,30,15,15,15,15
307,203,36,23,21,21,21
308,133,21,15,15,15,15
309,213,35,23,23,23,23
310,183,31,17,17,17,17
311,252,34,23,21,21,21
312,120,21,11,11,11,11
313,79,11,8,8,8,8
314,96,14,7,7,7,7
315,178,27,19,18,18,18
316,55,8,6,6,6,6
317,172,25,17,17,17,17
318,125,19,12,11,11,11
319,30,5,3,2,2,2
320,182,29,19,18,17,18
321,198,32,19,19,19,19
322,64,11,6,6,6,6
323,188,35,19,18,18,18
324,19,3,2,2,2,2
325,157,22,15,15,14,15
326,158,24,18,17,16,16
327,46,8,4,4,4,4
328,166,23,15,15,15,15
329,113,23,12,12,12,12
330,67,11,6,6,6,6
331,183,29,19,19,19,19
332,54,8,4,4,4,4
333,165,27,17,16,16,16
334,63,13,5,5,5,5
335,107,15,10,10,10,10
336,90,15,8,7,7,7
337,128,22,15,15,15,15
338,41,9,5,5,5,5
339,56,8,5,5,5,5
340,87,14,9,9,9,9
341,131,23,16,15,15,15
342,82,14,6,6,6,6
343,150,26,12,12,12,12
344,152,28,16,15,14,15
345,125,22,12,12,12,12
346,164,27,15,15,15,15
347,104,16,10,10,9,9
348,115,19,11,11,11,11
349,97,18,12,12,12,12
350,88,15,9,9,9,9
351,115,16,12,12,12,12
352,149,23,17,17,17,17
353,95,15,9,9,9,9
354,119,19,12,12,12,12
355,187,30,20,19,19,19
356,77,12,8,8,8,8
357,207,41,18,18,18,18
358,194,30,20,19,19,19
359,90,19,9,9,9,9
360,142,23,12,12,12,12
361,112,20,12,12,12,12
362,97,17,10,10,10,10
363,222,37,22,22,22,22
364,232,39,22,21,21,21
365,46,6,4,4,4,4
366,96,16,10,10,10,10
367,91,15,9,9,9,9
